horizon,n,dm_stat,p_value,mean_loss_diff,favours,station
1,211,3.020345010365623,0.0028380926591849735,10.532159408934762,lags_meteo,Birr co offlay
6,212,0.6435425590655438,0.5205709359905929,1.9691993593234391,lags_meteo,Birr co offlay
12,212,0.056317809366483805,0.9551419245664671,0.42818523157901106,lags_meteo,Birr co offlay
24,212,0.6359863503833045,0.5254745475182212,2.114682660475371,lags_meteo,Birr co offlay
1,145,0.44342948941382665,0.6581206235170214,2.8331382370825677,lags_meteo,Dublin Airport
6,145,-0.6585272081607807,0.5112509450252096,-6.3901407089407085,lags_only,Dublin Airport
12,145,-0.6523755218345845,0.51519898778645,-12.056114732298557,lags_only,Dublin Airport
24,145,2.324122389675176,0.021517582182062168,22.122570100305627,lags_meteo,Dublin Airport
1,151,1.6438490595828377,0.10230173240133394,12.79490749991033,lags_meteo,Dundalk Co Louth
6,152,2.913485987166877,0.004117585007342454,11.37092753418966,lags_meteo,Dundalk Co Louth
12,153,-0.05547165601591879,0.9558355575798972,-0.28723000655118214,lags_only,Dundalk Co Louth
24,152,1.5377387915434788,0.12620533151987903,33.75168562011658,lags_meteo,Dundalk Co Louth
1,212,2.1904135690671356,0.029589793902675188,8.736832511426568,lags_meteo,Pearse street dublin
6,212,2.6533596998836786,0.008575982454161288,7.827338038184637,lags_meteo,Pearse street dublin
12,212,1.6621202731405011,0.09797353388648072,12.40934025957094,lags_meteo,Pearse street dublin
24,212,0.8012651949204724,0.42387950994723167,20.7288933320717,lags_meteo,Pearse street dublin
1,212,0.9875536631081793,0.32450237781476743,2.502509920602641,lags_meteo,Ringsend dublin
6,212,-0.5489316580227804,0.5836327616858441,-3.6960719714104977,lags_only,Ringsend dublin
12,212,0.7134309250827225,0.47636748109628446,15.532992163737195,lags_meteo,Ringsend dublin
24,212,1.3506271028745176,0.1782616379908484,4.1041303305737875,lags_meteo,Ringsend dublin
1,208,-1.1181897996053158,0.2647819487068053,-7.496613295248951,lags_only,edenderry co offlay
6,211,-0.9120224438588196,0.3628026742919094,-22.160579025848374,lags_only,edenderry co offlay
12,211,0.43482774702733107,0.6641339678013067,7.6423092462627356,lags_meteo,edenderry co offlay
24,210,0.8658418950010599,0.38756969686830384,9.535525820243773,lags_meteo,edenderry co offlay
1,211,1.5512975558304039,0.12233612070053346,1.5771859676974072,lags_meteo,henry street Limerick
6,211,-1.1185092938283414,0.26462737129332015,-25.574820661260855,lags_only,henry street Limerick
12,210,0.33042241939953715,0.7414117918904573,2.9060277520069846,lags_meteo,henry street Limerick
24,211,0.7110412806375731,0.477847654259143,2.7781315145537167,lags_meteo,henry street Limerick
1,212,0.6183100708382967,0.5370378213575423,0.8216519388168321,lags_meteo,porrlaoise co laois
6,212,-1.4684830194599947,0.14346227467454226,-1.2744335434214906,lags_only,porrlaoise co laois
12,212,2.790819794727251,0.005739519902920262,6.810594878500559,lags_meteo,porrlaoise co laois
24,212,,,1.1386693553550271,undetermined,porrlaoise co laois
