horizon,rmse_lags_only,mae_lags_only,skill_rmse_lags_only,skill_mae_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_lags_meteo,skill_mae_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
1,5.111287696592806,3.5124979914918457,-0.0057993464864409,0.0331070847681855,5.002629343558434,3.4992172159044084,0.0155824474879259,0.0367629125737476,-0.10865835303437166,-0.013280775587437343,0.0213817939743668,0.0036558278055620966
2,6.301690748131658,4.209408494404384,-0.0263285533099075,0.0288114877774988,6.020122810331628,4.047862888744899,0.0195291737368276,0.066083051377248,-0.28156793780002953,-0.16154560565948461,0.0458577270467351,0.0372715635997492
3,5.772288722657051,4.0650816753971,0.0502049318213398,0.0669871057118488,5.599754388900658,3.965973952674325,0.0785944090576553,0.0897341968179213,-0.17253433375639293,-0.09910772272277502,0.028389477236315498,0.02274709110607251
4,5.884690685375805,4.113826076189677,0.102298165315633,0.0943442593463024,5.62206632816554,4.000185397721953,0.1423611660586196,0.1193621699044954,-0.26262435721026467,-0.11364067846772397,0.04006300074298659,0.025017910558192996
5,5.9661322170828415,4.185921276119394,0.1682187985366074,0.1870885924385203,5.836665203367498,4.1934270180447,0.1862687217196174,0.1856309675022601,-0.12946701371534353,0.007505741925306175,0.01804992318300999,-0.001457624936260199
6,6.0351571528177725,4.151686432656278,0.2055610849944197,0.2424395848151538,6.046557049870543,4.153433444459787,0.2040604576509296,0.2421208066490598,0.011399897052770669,0.0017470118035092241,-0.0015006273434901019,-0.00031877816609399146
7,6.410155168769527,4.291698949390582,0.1943517109448695,0.2310796044373189,6.257779361674425,4.36239083412658,0.2135027775021442,0.2184141233270948,-0.152375807095102,0.07069188473599741,0.019151066557274693,-0.012665481110224086
8,6.2626064242763055,4.469873269399007,0.233542400610245,0.2333647590274958,6.233446178406447,4.568505143546789,0.2371112169357272,0.2164482457288937,-0.02916024586985877,0.09863187414778185,0.003568816325482199,-0.01691651329860208
9,8.01661221892417,5.775512811154296,0.1743520952693574,0.1798910809672601,7.65880296196499,5.583455295886024,0.2112036299618039,0.2071627859030675,-0.35780925695917976,-0.19205751526827175,0.03685153469244648,0.02727170493580741
10,9.953796452091778,7.113180955251058,0.127235415090027,0.1073252894239567,9.427809715160512,6.863291312223193,0.1733547624501485,0.1386854032983514,-0.5259867369312659,-0.24988964302786432,0.04611934736012149,0.03136011387439472
11,11.5959525838762,8.004145840118671,0.0517673804282341,0.0119039544656623,11.021746114286609,7.901095720543259,0.0987218070607711,0.024625288843897,-0.5742064695895905,-0.10305011957541232,0.046954426632537,0.0127213343782347
12,12.33637917556209,8.337795852925735,-0.0110769267067478,-0.013304308083001,11.434179160671912,8.074459620982925,0.0628664569513163,0.0186993224938208,-0.9022000148901785,-0.26333623194281053,0.0739433836580641,0.032003630576821804
13,11.39137982550383,7.89321981413516,-0.0005593209012149,-0.0160171338135288,10.436665172698664,7.752249867240818,0.0832978289171501,0.002128551314984,-0.9547146528051655,-0.1409699468943426,0.08385714981836499,0.0181456851285128
14,11.22785301512608,8.027291011810302,-0.0248714213991239,-0.0614853963490049,9.91128995952227,7.49411516001691,0.0953036332921402,0.0090188845512326,-1.31656305560381,-0.5331758517933922,0.1201750546912641,0.0705042809002375
15,12.137479640729472,8.256877913031467,0.0312160361271079,-0.0072219865541931,11.33804931255436,8.004876656587733,0.095024611308631,0.0235185922460353,-0.7994303281751112,-0.2520012564437337,0.06380857518152311,0.030740578800228402
16,12.571258123246642,8.184572454168325,-0.0060073991686802,-0.0029549812165539,11.853533620994448,8.010378479616007,0.051428074095144,0.0183911202998643,-0.7177245022521941,-0.17419397455231866,0.0574354732638242,0.0213461015164182
17,13.31046299287989,8.122679718903132,-0.0321688979204186,0.012182799994407,12.73039495921324,8.216774390084403,0.0128128719360353,0.0007397371335854,-0.5800680336666488,0.09409467118127068,0.0449817698564539,-0.0114430628608216
18,13.892730035289231,8.176899517801674,-0.0619626373975781,-0.0331186756160046,13.904890988659888,8.36188636652448,-0.0628922227333592,-0.0564910269262803,0.012160953370656813,0.18498684872280613,-0.000929585335781101,-0.0233723513102757
19,13.015515327843476,7.571762889623642,-0.0685261613013177,-0.0302514639147746,12.761480141835005,7.6446521871469235,-0.047670802500394,-0.0401691418151206,-0.25403518600847086,0.07288929752328155,0.020855358800923693,-0.009917677900346002
20,13.51233056352408,7.478936040029985,-0.1288402716439625,-0.022092304347884,12.867267392266982,7.421873232460563,-0.0749507311205055,-0.0142939415635223,-0.6450631712570978,-0.05706280756942128,0.053889540523457,0.0077983627843617
21,14.259933227828247,7.203959887984109,-0.2004581638253137,-0.0262381490327463,12.911793291718531,7.313011849835768,-0.086966356646051,-0.041773116636564,-1.3481399361097157,0.10905196185165966,0.1134918071792627,-0.015534967603817701
22,13.062518853123125,7.167899705448738,-0.0900922829868744,0.0188112749826688,12.875968348932394,7.407007576704693,-0.0745242851686738,-0.0139193653694691,-0.1865505041907305,0.23910787125595512,0.01556799781820059,-0.0327306403521379
23,13.516846628375662,7.377607240062468,-0.087804748114405,0.0102195472745956,13.826950394644358,7.586664198827343,-0.112761186448705,-0.0178275531684934,0.3101037662686963,0.20905695876487496,-0.024956438334300002,-0.028047100443089
24,15.903839442170158,7.59662316680628,-0.254807983906278,-0.0011930755954665,14.36620627972122,7.5251326554239135,-0.1334892057850683,0.0082289798882854,-1.5376331624489374,-0.0714905113823665,0.12131877812120972,0.009422055483751898
