punto,file,rows,coverage
08019052_10_M,data/raw/pm10_08019052_10_M.csv,2922,0.985
50008001_10_M,data/raw/pm10_50008001_10_M.csv,2922,0.975
44216001_10_M,data/raw/pm10_44216001_10_M.csv,2922,0.967
45153999_10_M,data/raw/pm10_45153999_10_M.csv,2892,0.961
08019043_10_M,data/raw/pm10_08019043_10_M.csv,2556,0.953
08019045_10_M,data/raw/pm10_08019045_10_M.csv,2922,0.952
22125001_10_M,data/raw/pm10_22125001_10_M.csv,2922,0.95
08019004_10_M,data/raw/pm10_08019004_10_M.csv,2922,0.949
08019028_10_M,data/raw/pm10_08019028_10_M.csv,2922,0.949
08019054_10_M,data/raw/pm10_08019054_10_M.csv,2922,0.945
44013007_10_M,data/raw/pm10_44013007_10_M.csv,2922,0.943
08263007_10_M,data/raw/pm10_08263007_10_M.csv,2922,0.941
43004006_10_M,data/raw/pm10_43004006_10_M.csv,2498,0.937
43004005_10_M,data/raw/pm10_43004005_10_M.csv,2922,0.936
