dataset,model,horizon,skill
e1_rr_daily,hgb_direct,1,0.054543204783526256
e1_rr_daily,hgb_direct,2,0.20741804302376743
e1_rr_daily,hgb_direct,3,0.23588907780918333
e1_rr_daily,hgb_direct,4,0.24214639737911514
e1_rr_daily,hgb_direct,5,0.2536119461106551
e1_rr_daily,hgb_direct,6,0.25087626624283277
e1_rr_daily,hgb_direct,7,0.2378516414402605
e1_rr_daily,ridge_direct,1,0.10682430525706854
e1_rr_daily,ridge_direct,2,0.2264146319696041
e1_rr_daily,ridge_direct,3,0.2578848238331962
e1_rr_daily,ridge_direct,4,0.27150634885489555
e1_rr_daily,ridge_direct,5,0.2781987813347364
e1_rr_daily,ridge_direct,6,0.28003792705339026
e1_rr_daily,ridge_direct,7,0.27172681575022173
