threshold_type,model_family,median_recall,median_precision,median_far,median_csi,n_cells
abs_50,Direct ML,0.0,0.0,1.0,0.07999999999999999,238
abs_50,Decomposition + Ridge,0.3703703703703703,0.0254237288135593,0.9745762711864407,0.02523337937249598,119
abs_50,Persistence baseline,0.0476190476190476,0.0476190476190476,0.9523809523809524,0.04964276915496425,119
abs_50,Statistical baseline,0.0,0.25,0.75,0.3333333333333333,119
abs_50,Variance-preserving naive,0.0,0.0,1.0,0.02631578947368419,119
p75,Direct ML,0.18832314383915805,0.4256691832532601,0.5743308167467399,0.14685494223363282,238
p75,Decomposition + Ridge,0.9887005649717514,0.2373572593800978,0.7626427406199022,0.23716381418092905,119
p75,Persistence baseline,0.3738019169329074,0.3712871287128713,0.6287128712871287,0.2271844660194175,119
p75,Statistical baseline,0.0652173913043478,0.5,0.5,0.10344827586206898,119
p75,Variance-preserving naive,0.3247663551401869,0.3284132841328413,0.6715867158671587,0.1942215088282504,119
p90,Direct ML,0.0219179727376448,0.25,0.75,0.03424657534246574,238
p90,Decomposition + Ridge,0.8947368421052632,0.1037037037037037,0.8962962962962963,0.10265811182401466,119
p90,Persistence baseline,0.2105263157894736,0.2142857142857142,0.7857142857142858,0.12033195020746884,119
p90,Statistical baseline,0.0,0.5,0.5,0.12132352941176468,119
p90,Variance-preserving naive,0.1717171717171717,0.1773399014778325,0.8226600985221675,0.09627329192546584,119
