model,h,n_stations_valid,r_h_median,r_h_iqr,alpha_h_median,alpha_h_iqr,beta_h_median,beta_h_iqr,KGE_h_median,KGE_h_iqr,KGE_skill_h_median,KGE_skill_h_iqr
hgb_direct,1,17,0.5920228136840662,0.058902943013548814,0.6538704651181572,0.055505817941112534,1.0021062110233325,0.019970237266366153,0.45399035937899057,0.08770708636993085,0.2280305170499447,0.07545892961792378
hgb_direct,2,17,0.35484062604505306,0.07025878795500001,0.47495389442737385,0.045792524846034466,1.002178175827216,0.033514018997689465,0.16433299992089356,0.08771817000161009,0.52854019672371,0.10560888903183951
hgb_direct,3,17,0.23978749640749575,0.045014782335980386,0.40257219325286286,0.04400865716789676,1.0061574606492811,0.04033561101053129,0.030241656114981752,0.0505967507871522,0.8684739227329474,0.18218562502826208
hgb_direct,4,17,0.18903755234627398,0.04271849233744385,0.3541592408485241,0.06279620064386837,1.0072843043559854,0.04845812632724211,-0.03531644116283572,0.07125576626188812,1.1654835272209907,0.3723182955534605
hgb_direct,5,17,0.1532727859036695,0.09994812296929054,0.3384692293309163,0.07465499554235117,1.0071337007319774,0.057798407034654664,-0.06623720538880074,0.10891770283395119,1.5060887059770942,0.8529735139364405
hgb_direct,6,17,0.1512988941169915,0.09445712687062321,0.33831858408431975,0.08024559073948001,1.005104143270906,0.058017449536673094,-0.09065940745431456,0.11520383190242023,1.5024762077636908,0.9982379570786106
hgb_direct,7,17,0.13818846577473204,0.07894568253732442,0.3338069908286863,0.08627574804910665,1.0068078041196082,0.05612322497018096,-0.09133110968632918,0.1145884200666587,1.7062685367506798,1.1216364890862398
ridge_direct,1,17,0.6047086308786028,0.07133777741250957,0.6461708863724653,0.050796223515505945,1.0063983684559694,0.016063218752083608,0.4734241806545324,0.06545143065694092,0.21507282314851894,0.08735593411936904
ridge_direct,2,17,0.3713967770282988,0.0690951148516733,0.4184157146706577,0.04952370309070686,1.0049294878616915,0.026942877227855266,0.15023413342494385,0.10226372216279567,0.5911634972254769,0.21773498461771934
ridge_direct,3,17,0.27179734291929925,0.06142476104388883,0.32458672502894625,0.04064460164354505,1.0056776110771808,0.03774005137983616,0.0061540415061012155,0.04676520764234349,0.9781067286281405,0.18024965683492755
ridge_direct,4,17,0.2007900026730893,0.07600876233387183,0.25821063311898546,0.06003160552184833,1.006862046076521,0.04702663225578918,-0.07573075305718491,0.09395974190147527,1.3735494103078971,0.560462221536622
ridge_direct,5,17,0.1720260391818171,0.09075282485254127,0.23009089270305277,0.072911387480915,1.0068214637178403,0.051390932347624596,-0.11292398128462922,0.1024129624700243,1.7308084787731541,1.0061850647850406
ridge_direct,6,17,0.17554021360120534,0.08469849372340471,0.22897583121572165,0.0880149141806919,1.005596649719458,0.05337075807603442,-0.1200634104882019,0.10993236695888142,1.804590446171074,1.1491033090368934
ridge_direct,7,17,0.1649978339180042,0.07028379416822364,0.2284069879607555,0.09514482033336899,1.0079243439309964,0.05350792841060281,-0.14918566648111198,0.11163153839251505,2.101926280523493,1.1612716237387217
sarima,1,17,0.59745407108925,0.13204343966351795,0.7073469057604038,0.19550932752342642,0.9977920687056958,0.03641066477667876,0.48244302257271077,0.22952669708885642,0.2142118827568582,0.33340482537404514
sarima,2,17,0.3884949575086543,0.16624209703619025,0.4241263277505332,0.12855696377047265,0.9843395613466924,0.034008963165879535,0.1578785308875731,0.1964857803544532,0.5813426646744098,0.46324733420403863
sarima,3,17,0.2566399094960913,0.14258135628577637,0.3472190512802681,0.13032254831954088,0.9906222945210252,0.064692055676281,0.03597536514809374,0.14364551318845675,0.8521431307826848,0.6221195773373688
sarima,4,17,0.1749079182663189,0.13493990664300698,0.282366512754197,0.09076929367758899,0.9852990576694436,0.04210213690200082,-0.05374920319391063,0.1523951821702525,1.5689589632127836,0.9663304531462837
sarima,5,17,0.14184477960568512,0.19482490250681192,0.24985460411077876,0.10452652471580304,0.9799417848652024,0.020837634663959714,-0.17733431454385928,0.2080996676639706,2.2901662184667186,1.685318770886188
sarima,6,17,0.1533538060267215,0.15489398186409226,0.22128572693361173,0.11514395982551162,0.9832498026461111,0.046785333533452045,-0.1334465230576216,0.18688414732111513,1.6928797445599058,1.2295277783248681
sarima,7,17,0.15217917791151517,0.10890078740674115,0.21953968924360928,0.14860981334500611,0.9719427844291778,0.0461477259781502,-0.15996381910433866,0.15438334724027336,2.1940140918927313,1.4383297356812619
seasonal_naive,1,17,0.16014081269061173,0.0808041506752628,1.0015615576302812,0.021244477474247514,1.0010944411509874,0.00778352399864235,0.15983307400767044,0.0934741560533141,0.7374979110528892,0.1554878948901669
seasonal_naive,2,17,0.16186896396337008,0.08458763874903112,1.0015986563335635,0.025006205688556937,1.0012481734047733,0.008430675305006963,0.16168405689709098,0.08776691383713875,0.591507990973525,0.2505647088617291
seasonal_naive,3,17,0.16196400950370626,0.07828893453207661,0.9998283558254991,0.035773177142600754,1.0017616593151262,0.010026187238589057,0.16196214031085132,0.0827430525022832,0.42816976968879794,0.26117278442500114
seasonal_naive,4,17,0.16297460666324204,0.07255412546750886,0.9987240664438379,0.02096366920632875,1.001904391798106,0.007302138467876751,0.16297106045330068,0.07763842436280044,0.20194546514150313,0.2723238526819053
seasonal_naive,5,17,0.16480117126633062,0.07021455488795611,0.994144091855393,0.03621176022894912,1.000294345176324,0.010529261051455463,0.16463741374952723,0.07473230935220487,0.015153394274815768,0.25965172632470446
seasonal_naive,6,17,0.15760489686978962,0.06962312662522539,0.9977476091748841,0.02902250670623996,0.9994850031501891,0.007782116277662121,0.15720099959434453,0.07254484454223464,0.05997149359678633,0.13829036081774382
seasonal_naive,7,17,0.15821257219222543,0.06833407453047931,1.0002986344788198,0.02093772616346823,0.9985994397759105,0.010094268660352346,0.15800781926316965,0.06982288186908658,0.0,0.0
stl_ridge_direct,1,17,0.3293878545291991,0.04508137070730017,1.312036247855925,0.05236229669729431,2.011328930682317,0.02809873989214773,-0.2492000341132925,0.024323149481242368,1.4234183006883863,0.08067344045771385
stl_ridge_direct,2,17,0.238526751858731,0.08867094657008925,1.2577056301353484,0.05806241986577865,2.0179158447440386,0.03296192894399819,-0.3005203327833639,0.04654055757339659,1.906338350222947,0.31075922174803017
stl_ridge_direct,3,17,0.20504497544394654,0.09563837614386522,1.2128169636743,0.06782314630920183,2.0152703144322546,0.04868297139382349,-0.31107593997910077,0.051518788673246885,2.3289156517149987,0.6510235339864741
stl_ridge_direct,4,17,0.18580871989781556,0.08327292014928667,1.1846867902417544,0.06437642669228594,2.0149109301073804,0.049072582765085304,-0.32046363865022487,0.05434656917552183,2.8143357833375013,0.9930042430172623
stl_ridge_direct,5,17,0.1778413534430059,0.0840789451780295,1.1495333779528238,0.046585150071688064,2.013713429993825,0.04936004476710543,-0.3227583984012614,0.06197124100130602,3.0686196443999814,1.4774167531212572
stl_ridge_direct,6,17,0.16735249843582586,0.08006292172162213,1.1313069275998036,0.050428763023559364,2.0136492860261854,0.05998362938306667,-0.31814256586765066,0.061122509369036404,2.890285901909362,0.9948405313769615
stl_ridge_direct,7,17,0.1635152636959824,0.07745429492510203,1.1191393530384808,0.03981264169051846,2.0150029308968262,0.06258135829044265,-0.3168216685677179,0.06707705939777542,3.0420031527055214,1.1855991613480792
